Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
231.8159999847412,231.6909999847412,0.01399993896484375,11.0,117.0,21.0,37.0,-58.7
201.37800002098083,201.37800002098083,0.0,10.0,47.0,59.0,39.3,-68.0
262.202999830246,262.2019999027252,0.0,20.0,105.0,71.0,49.7,-74.0
261.4689998626709,261.4449999332428,0.0,8.0,180.0,51.0,19.0,-23.0
321.8440001010895,321.8440001010895,0.0,16.0,37.0,4.0,24.3,-42.7
261.43499994277954,261.4159998893738,0.0,13.0,146.0,31.0,27.7,-40.7
201.27300000190735,201.2699999809265,0.0,7.0,79.0,47.0,36.0,-74.7
201.27099990844727,201.27099990844727,0.0,10.0,58.0,44.0,38.7,-70.7
302.1840000152588,302.1820001602173,0.0,18.0,215.0,70.0,30.3,-54.3
321.6490001678467,321.62900018692017,0.0,11.0,208.0,34.0,20.3,-34.3
303.15899991989136,303.1380000114441,0.0,19.0,302.0,49.0,45.7,-67.3
283.25499987602234,283.25499987602234,0.0,19.0,242.0,74.0,42.3,-73.0
342.15899991989136,342.14400005340576,0.0,13.0,195.0,53.0,26.0,-42.0
181.17999982833862,181.17999982833862,0.0,8.0,25.0,3.0,20.7,-39.3
181.70899987220764,181.7079999446869,0.0,18.0,301.0,64.0,47.0,-68.0
201.22500014305115,201.2240002155304,0.0,11.0,183.0,50.0,25.0,-32.0
141.1600000858307,141.1600000858307,0.0,7.0,78.0,37.0,34.7,-72.0
201.46799993515015,201.45700001716614,0.0,17.0,228.0,34.0,27.7,-58.0
201.22000002861023,201.22000002861023,0.0,13.0,236.0,4.0,22.0,-43.0
161.1670000553131,161.16600012779236,0.0,6.0,293.0,5.0,26.3,-49.3
181.22800016403198,181.2170000076294,0.0,11.0,262.0,20.0,35.3,-62.7
201.25,201.2409999370575,0.0,15.0,299.0,1.0,31.7,-47.7
181.44199991226196,181.43799996376038,0.0,16.0,242.0,37.0,33.3,-67.0
221.2539999485016,221.2539999485016,0.0,14.0,17.0,20.0,24.3,-46.7
241.37599992752075,241.375,0.0,19.0,220.0,2.0,22.3,-31.7
181.24399995803833,181.242999792099,0.0,14.0,301.0,34.0,34.0,-62.0
201.6600000858307,201.6600000858307,0.0,17.0,26.0,40.0,37.0,-62.7
201.2900002002716,201.28900003433228,0.0,17.0,145.0,26.0,34.7,-44.3
141.20900011062622,141.20900011062622,0.0,7.0,294.0,63.0,32.7,-65.7
181.18800020217896,181.18700003623962,0.0,7.0,193.0,22.0,10.3,-14.7
181.61500000953674,181.61100006103516,0.0,19.0,247.0,36.0,41.7,-70.3
221.7850000858307,221.7850000858307,0.0,15.0,14.0,75.0,38.3,-64.3
261.3880000114441,261.3880000114441,0.0,19.0,227.0,6.0,24.7,-39.0
181.56900000572205,181.56900000572205,0.0,14.0,225.0,72.0,27.3,-61.0
201.1729998588562,201.1729998588562,0.0,7.0,21.0,2.0,14.7,-37.3
141.18300008773804,141.17799997329712,0.0,8.0,291.0,71.0,36.7,-69.3
201.69200015068054,201.69200015068054,0.0,18.0,3.0,39.0,31.7,-55.7
221.3199999332428,221.3199999332428,0.0,19.0,7.0,17.0,28.0,-44.3
181.33200001716614,181.33100008964539,0.0,17.0,83.0,13.0,43.7,-67.7
181.58200001716614,181.5809998512268,0.0,17.0,46.0,43.0,41.3,-69.7
161.63199996948242,161.62800002098083,0.0,15.0,270.0,50.0,48.0,-75.7
201.6579999923706,201.65699982643127,0.0,18.0,228.0,38.0,33.0,-60.0
261.3139998912811,261.3090000152588,0.0,18.0,188.0,19.0,21.7,-27.7
161.6619999408722,161.6579999923706,0.0,15.0,100.0,68.0,50.0,-78.7
181.8949999809265,181.89400005340576,0.0,20.0,106.0,74.0,48.7,-74.3
181.42899990081787,181.42799997329712,0.0,20.0,108.0,19.0,42.0,-65.3
181.5659999847412,181.5659999847412,0.0,15.0,237.0,54.0,37.3,-68.7
201.24399995803833,201.24399995803833,0.0,15.0,28.0,7.0,28.0,-42.3
201.28400015830994,201.28400015830994,0.0,17.0,305.0,24.0,41.3,-57.7
161.26400017738342,161.26400017738342,0.0,13.0,263.0,44.0,38.7,-74.0
161.28099989891052,161.27999997138977,0.0,15.0,110.0,29.0,45.3,-67.0
141.15499997138977,141.15499997138977,0.0,7.0,98.0,25.0,36.0,-62.3
161.61600017547607,161.61500000953674,0.0,16.0,121.0,62.0,44.0,-71.0
201.2369999885559,201.2369999885559,0.0,15.0,204.0,15.0,22.0,-27.3
241.31699991226196,241.3159999847412,0.0,20.0,182.0,17.0,25.7,-28.0
241.8840000629425,241.87900018692017,0.0,19.0,186.0,73.0,32.7,-44.7
181.22300004959106,181.22099995613098,0.0,11.0,105.0,11.0,35.3,-59.7
161.24300003051758,161.24200010299683,0.0,10.0,95.0,58.0,44.7,-77.7
221.2960000038147,221.2960000038147,0.0,15.0,211.0,30.0,28.3,-40.7
181.27999997138977,181.27900004386902,0.0,13.0,49.0,28.0,34.7,-61.7
181.73799991607666,181.7369999885559,0.0,19.0,298.0,43.0,46.7,-68.7
201.33599996566772,201.33500003814697,0.0,18.0,229.0,28.0,30.0,-54.3
161.20900011062622,161.20900011062622,0.0,7.0,88.0,20.0,31.7,-66.7
161.1579999923706,161.1579999923706,0.0,7.0,285.0,22.0,29.3,-58.3
181.16400003433228,181.16300010681152,0.0,8.0,192.0,61.0,21.0,-29.3
161.2720000743866,161.2720000743866,0.0,14.0,271.0,23.0,36.0,-65.3
241.36800003051758,241.36699986457825,0.0,16.0,180.0,35.0,27.0,-35.0
161.2189998626709,161.2189998626709,0.0,11.0,67.0,15.0,36.3,-64.7
201.50499987602234,201.50499987602234,0.0,13.0,209.0,53.0,25.3,-47.3
161.23799991607666,161.23799991607666,0.0,11.0,146.0,52.0,35.7,-48.3
201.2829999923706,201.2779998779297,0.0,17.0,11.0,13.0,31.0,-40.3
181.25,181.24699997901917,0.0,10.0,175.0,73.0,27.3,-36.7
141.18099999427795,141.1800000667572,0.0,9.0,48.0,53.0,32.7,-66.0
181.21799993515015,181.21599984169006,0.0,12.0,155.0,1.0,14.0,-18.0
141.17700004577637,141.17499995231628,0.0,9.0,257.0,44.0,33.3,-70.7
201.24900007247925,201.24900007247925,0.0,15.0,175.0,23.0,28.0,-24.3
181.20600008964539,181.20500016212463,0.0,10.0,224.0,10.0,16.0,-33.3
121.14900016784668,121.14800000190735,0.0,6.0,85.0,46.0,36.3,-71.7
161.6399998664856,161.63899993896484,0.0,16.0,65.0,69.0,44.3,-79.7
161.5420000553131,161.5420000553131,0.0,15.0,301.0,57.0,44.0,-70.0
181.75100016593933,181.7220001220703,0.003000020980834961,16,225,35,27.7,-54.7
181.17499995231628,181.17400002479553,0.0,8,220,9,11.3,-27.0
181.24799990653992,181.2409999370575,0.0,12,18,21,25.3,-45.3
161.22199988365173,161.22099995613098,0.0,14,240,35,30.3,-63.3
181.18799996376038,181.18700003623962,0.0,10,222,7,15.0,-33.0
141.17700004577637,141.17700004577637,0.0,7,86,20,31.7,-66.3
161.16899991035461,161.16799998283386,0.0,7,290,5,24.0,-51.0
141.16599988937378,141.16599988937378,0.0,7,88,21,32.0,-66.7
161.1710000038147,161.1710000038147,0.0,9,44,53,32.3,-64.7
141.1579999923706,141.15599989891052,0.0,7,85,18,30.7,-65.7
141.17000007629395,141.16799998283386,0.0,7,77,50,35.7,-73.7
181.20600008964539,181.20600008964539,0.0,12,206,37,22.7,-37.7
141.18099999427795,141.18099999427795,0.0,9,77,49,38.0,-76.0
141.17599987983704,141.1729998588562,0.0,7,92,21,34.0,-65.0
141.24399995803833,141.24399995803833,0.0,10,76,46,41.3,-78.3
161.16400003433228,161.16400003433228,0.0,7,20,2,14.7,-38.0
141.1560001373291,141.1560001373291,0.0,6,289,5,26.3,-51.3
141.19199991226196,141.19199991226196,0.0,8,77,50,35.7,-77.3
141.18700003623962,141.18499994277954,0.0,9,77,41,36.0,-75.7
121.1399998664856,121.1399998664856,0.0,6,85,42,35.3,-70.0
141.16899991035461,141.16799998283386,0.0,7,50,51,29.3,-63.7
141.18899989128113,141.18899989128113,0.0,7,81,45,35.3,-74.0
161.32099986076355,161.3199999332428,0.0,15,241,37,36.7,-65.7
141.15499997138977,141.15400004386902,0.0,7,90,18,30.7,-65.3
181.27999997138977,181.27600002288818,0.0,17,226,31,26.3,-53.0
141.16799998283386,141.1670000553131,0.0,6,45,53,27.3,-58.3
141.16499996185303,141.1619999408722,0.0,6,82,46,36.3,-71.0
181.1909999847412,181.19000005722046,0.0,9,223,10,13.0,-32.0
181.41300010681152,181.41300010681152,0.0,13,209,54,25.7,-48.0
181.22599983215332,181.22499990463257,0.0,11,206,53,24.3,-42.0
181.22000002861023,181.21599984169006,0.0,12,17,23,26.7,-45.7
141.16600012779236,141.16600012779236,0.0,9,82,45,36.7,-75.7
141.18099999427795,141.1800000667572,0.0,8,87,22,32.3,-67.3
141.41899991035461,141.41799998283386,0.0,12,224,75,29.7,-59.7
181.21799993515015,181.2149999141693,0.0,13,16,17,25.3,-44.0
181.28400015830994,181.2829999923706,0.0,12,16,22,26.0,-45.7
141.20099997520447,141.19999980926514,0.0,11,49,53,42.0,-69.7
141.17300009727478,141.17300009727478,0.0,8,78,47,34.7,-75.0
161.5,161.49300003051758,0.0,17,243,36,39.0,-68.3
201.3140001296997,201.31299996376038,0.0,17,225,31,26.3,-53.0
141.1670000553131,141.16599988937378,0.0,8,80,44,34.3,-74.3
141.15300011634827,141.1489999294281,0.0010001659393310547,7,82,50,35.7,-75.3
161.18600010871887,161.17900013923645,0.0,8,294,5,27.3,-49.0
181.26400017738342,181.2630000114441,0.0,15,240,34,35.7,-64.0
181.36299991607666,181.3619999885559,0.0,16,224,34,27.0,-54.0
181.24500012397766,181.2409999370575,0.0,15,241,34,36.3,-63.7
181.5259997844696,181.5259997844696,0.0,15,211,53,32.0,-51.0
181.2039999961853,181.20300006866455,0.0,12,226,12,18.0,-37.7
141.18799996376038,141.18799996376038,0.0,8,90,22,32.3,-68.3
141.19500017166138,141.1930000782013,0.0,11,285,22,36.0,-61.7
161.23300004005432,161.23200011253357,0.0,11,227,9,21.0,-37.7
141.15700006484985,141.1560001373291,0.0,7,82,49,35.7,-75.0
181.41899991035461,181.41899991035461,0.0,16,227,36,29.0,-56.3
181.26399993896484,181.26200008392334,0.0,15,227,36,31.7,-55.7
121.18799996376038,121.18700003623962,0.0,8,77,45,33.7,-75.0
141.1890001296997,141.18800020217896,0.0,8,49,53,33.3,-65.3
181.24799990653992,181.24699997901917,0.0009999275207519531,12,17,22,26.3,-44.3
181.18299984931946,181.1819999217987,0.0,10,221,13,15.7,-34.0
161.17600011825562,161.1710000038147,0.0,8,290,5,26.3,-51.0
141.18099999427795,141.17999982833862,0.0,7,81,49,35.7,-74.7
141.19700002670288,141.19600009918213,0.0,10,89,22,38.0,-69.0
181.26699995994568,181.2649998664856,0.0,16,227,33,28.0,-53.7
141.20000004768372,141.20000004768372,0.0,12,255,42,38.7,-71.7
181.614000082016,181.614000082016,0.0,19,242,35,40.3,-68.0
141.19600009918213,141.19600009918213,0.0,8,82,46,35.7,-75.0
141.2369999885559,141.2369999885559,0.0,8,87,17,31.3,-66.3
181.45100021362305,181.45000004768372,0.0,13,210,55,26.0,-48.7
181.22800016403198,181.22699999809265,0.0,14,15,21,23.7,-46.7
161.16599988937378,161.16499996185303,0.0,9,290,5,26.3,-51.0
181.54699993133545,181.5460000038147,0.0,15,210,52,31.7,-50.3
141.16299986839294,141.16299986839294,0.0,8,85,17,31.3,-66.7
141.20900011062622,141.20900011062622,0.0,11,255,45,41.0,-71.3
161.1710000038147,161.16899991035461,0.0,8,91,20,31.3,-66.7
141.1710000038147,141.16899991035461,0.0,7,82,46,35.3,-73.0
181.2699999809265,181.26900005340576,0.0,14,239,6,22.3,-49.3
201.6340000629425,201.6340000629425,0.0,16,209,54,30.7,-52.0
181.2149999141693,181.21399998664856,0.0,11,226,9,20.3,-36.3
181.30200004577637,181.30200004577637,0.0,15,231,36,32.7,-56.7
121.1579999923706,121.15700006484985,0.0,7,85,46,36.0,-73.0
141.15900015830994,141.1579999923706,0.0,7,78,50,36.0,-74.3
181.20299983024597,181.19899988174438,0.0,9,222,10,12.7,-31.7
181.18799996376038,181.18699979782104,0.0,10,210,54,24.3,-41.3
181.21799993515015,181.2170000076294,0.0,11,221,10,17.3,-33.3
141.19200015068054,141.19200015068054,0.0,9,79,46,37.0,-76.3
161.19600009918213,161.19600009918213,0.0,11,208,50,23.7,-40.0
161.24199986457825,161.23799991607666,0.0,14,243,39,32.0,-65.0
121.14600014686584,121.14100003242493,0.0,6,80,49,36.3,-72.7
141.1909999847412,141.1909999847412,0.0,10,77,45,41.3,-76.7
141.1579999923706,141.1560001373291,0.0,7,289,5,24.0,-51.3
181.5789999961853,181.57800006866455,0.0,15,210,55,32.0,-52.3
141.19900012016296,141.1980001926422,0.0,10,254,45,41.0,-70.3
181.20300006866455,181.19900012016296,0.0,10,226,8,16.0,-36.7
141.21399998664856,141.21399998664856,0.0,8,152,75,22.3,-37.7
141.15700006484985,141.1449999809265,0.0,6,87,21,33.7,-65.0
181.21000003814697,181.20499992370605,0.0,10,224,7,15.7,-34.3
161.2649998664856,161.26399993896484,0.0,11,88,22,38.3,-70.3
141.17999982833862,141.17999982833862,0.0,8,78,48,34.7,-76.3
161.4779999256134,161.47699999809265,0.0,17,247,36,41.0,-70.3
161.19000005722046,161.1890001296997,0.0,7,222,11,7.3,-29.3
181.30100011825562,181.30100011825562,0.0,12,208,54,25.0,-44.3
161.1949999332428,161.19400000572205,0.0,10,227,8,16.3,-36.7
201.2720000743866,201.2700002193451,0.0,16,237,6,23.0,-45.3
181.2220001220703,181.21600008010864,0.0,11,227,4,19.3,-37.7
161.4190001487732,161.4190001487732,0.0,16,242,38,33.7,-66.7
161.23099994659424,161.22900009155273,0.0,8,225,10,11.3,-33.7
181.2649998664856,181.26399993896484,0.0,12,226,6,16.7,-36.7
181.2389998435974,181.2389998435974,0.0,14,238,7,22.0,-48.0
161.143000125885,161.1380000114441,0.0,7,223,10,7.3,-29.0
181.25800013542175,181.25699996948242,0.0,11,227,6,20.7,-36.3
141.1670000553131,141.16299986839294,0.0,6,46,50,27.7,-59.7
141.1690001487732,141.16799998283386,0.0,7,80,44,35.3,-74.0
161.2369999885559,161.2369999885559,0.0,12,241,35,31.0,-62.0
141.18099999427795,141.17799997329712,0.0,7,49,52,29.0,-61.0
181.20000004768372,181.19900012016296,0.0,11,224,7,18.3,-35.7
201.3420000076294,201.34100008010864,0.0,17,237,4,25.7,-46.0
141.20600008964539,141.20099997520447,0.0,11,77,39,42.7,-77.0
141.24900007247925,141.24900007247925,0.0,12,79,43,41.0,-76.3
181.23099994659424,181.23099994659424,0.0,14,240,8,22.7,-50.3
141.1600000858307,141.15900015830994,0.0,8,47,53,32.7,-65.0
121.15899991989136,121.1579999923706,0.0,6,78,40,33.7,-71.3
141.19199991226196,141.1909999847412,0.0,9,78,51,37.7,-78.3
141.26799988746643,141.260999917984,0.0,12,80,44,41.3,-77.0
181.38299989700317,181.38199996948242,0.0,15,244,39,38.7,-67.3
181.2020001411438,181.20099997520447,0.0,10,225,8,16.3,-35.0
181.2300000190735,181.2300000190735,0.0,11,226,5,19.7,-36.7
181.2149999141693,181.20700001716614,0.0,9,18,0,17.0,-38.3
181.25,181.24900007247925,0.0,13,12,20,25.7,-42.7
161.2409999370575,161.24000000953674,0.0,12,238,33,28.3,-58.7
121.14400005340576,121.14000010490417,0.0,6,80,52,37.0,-73.3
181.22899985313416,181.22899985313416,0.0,8,21,1,19.0,-37.7
181.2850000858307,181.28399991989136,0.0,17,239,7,30.0,-49.0
181.17799997329712,181.17700004577637,0.0,9,20,1,17.3,-38.0
161.21599984169006,161.21399998664856,0.0,13,243,39,31.7,-66.0
141.18499994277954,141.18499994277954,0.0,10,85,47,42.0,-76.3
181.2590000629425,181.25600004196167,0.0,10,226,9,16.3,-38.7
161.22300004959106,161.2220001220703,0.0,13,237,35,28.7,-62.3
141.15300011634827,141.15300011634827,0.0,7,89,25,33.0,-68.7
181.21099996566772,181.20900011062622,0.0,11,225,7,19.0,-36.3
141.2260000705719,141.2260000705719,0.0,12,81,47,43.0,-78.0
161.1840000152588,161.18300008773804,0.0,6,223,11,5.3,-28.0
161.2779998779297,161.26699995994568,0.0,12,242,36,31.0,-64.3
141.1890001296997,141.1890001296997,0.0,8,81,51,36.3,-76.3
181.18300008773804,181.18300008773804,0.0,10,228,6,16.3,-36.7
141.1819999217987,141.18099999427795,0.0,10,46,55,38.0,-66.0
141.17900013923645,141.1780002117157,0.0,9,41,55,32.0,-64.0
141.19799995422363,141.19700002670288,0.0,11,80,43,43.0,-77.7
141.23399996757507,141.23399996757507,0.0,12,80,47,42.3,-78.0
141.21900010108948,141.21900010108948,0.0,10,82,49,42.3,-76.7
141.18700003623962,141.1840000152588,0.0,9,77,40,35.7,-74.7
161.21099996566772,161.20900011062622,0.0,13,240,39,31.3,-63.3
161.2350001335144,161.23300004005432,0.0,12,239,8,21.7,-47.7
141.21399998664856,141.20900011062622,0.0,11,243,39,38.3,-66.0
161.23200011253357,161.23100018501282,0.0,14,242,39,32.0,-67.0
